GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DesafioEmail,br.uff.sti.email.service.csv,CSVService,0,306,0,10,0,60,0,22,0,17
DesafioEmail,br.uff.sti.email.modelo,Aluno,0,93,0,2,0,29,0,17,0,16
DesafioEmail,br.uff.sti.email.service,SugestaoEmailService,0,312,0,10,0,57,0,25,0,19
DesafioEmail,br.uff.sti.email.service,AlunoService,0,88,0,2,0,28,0,11,0,10
DesafioEmail,br.uff.sti.email,Main,129,45,7,5,31,13,8,6,4,4
